"","Pclass","Sex","Age","SibSp","Parch","Fare","dummies.sex","predictedValue","PredictedSurvived","RealSurvived"
"1",3,"male",34.5,0,0,7.8292,1,0.0813689036224953,0,0
"2",3,"female",47,1,0,7,0,0.418423775238295,0,1
"3",2,"male",62,0,0,9.6875,1,0.0929148642651243,0,0
"4",3,"male",27,0,0,8.6625,1,0.102462800875613,0,0
"5",3,"female",22,1,1,12.2875,0,0.59137768857522,1,1
"6",3,"male",14,0,0,9.225,1,0.150156920514765,0,0
"7",3,"female",30,0,0,7.6292,0,0.637540333258954,1,1
"8",2,"male",26,1,1,29,1,0.184417969799608,0,0
"9",3,"female",18,0,0,7.2292,0,0.724068827485636,1,1
"10",3,"male",21,2,0,24.15,1,0.0715858471515785,0,0
"11",3,"male",30.2725903614458,0,0,7.8958,1,0.092603306924884,0,0
"12",1,"male",46,0,0,26,1,0.34784511492333,0,0
"13",1,"female",23,1,0,82.2667,0,0.945294828153382,1,1
"14",2,"male",63,1,0,26,1,0.0704916499374301,0,0
"15",1,"female",47,1,0,61.175,0,0.878077810174852,1,1
"16",2,"female",24,1,0,27.7208,0,0.827792213692465,1,1
"17",2,"male",35,0,0,12.35,1,0.203225035956967,0,0
"18",3,"male",21,0,0,7.225,1,0.121918554107072,0,0
"19",3,"female",27,1,0,7.925,0,0.584902692138748,1,1
"20",3,"female",45,0,0,7.225,0,0.515385916446542,1,1
"21",1,"male",55,1,0,59.4,1,0.242669898705215,0,0
"22",3,"male",9,0,1,3.1708,1,0.149010062218054,0,0
"23",1,"female",30.2725903614458,0,0,31.6833,0,0.940241230654432,1,1
"24",1,"male",21,0,1,61.3792,1,0.543303982686183,1,0
"25",1,"female",48,1,3,262.375,0,0.897051223444721,1,1
"26",3,"male",50,1,0,14.5,1,0.0375931124090489,0,0
"27",1,"female",22,0,1,61.9792,0,0.951709067682865,1,1
"28",3,"male",22.5,0,0,7.225,1,0.116648141565836,0,0
"29",1,"male",41,0,0,30.5,1,0.390352470551462,0,0
"30",3,"male",30.2725903614458,2,0,21.6792,1,0.053089258160086,0,0
"31",2,"male",50,1,0,26,1,0.10486432497054,0,0
"32",2,"male",24,2,0,31.5,1,0.17095639058174,0,0
"33",3,"female",33,1,2,20.575,0,0.468705845765904,0,1
